Player,Team,JumperNumber,Age,Age_Decimal,Height,Position,DebutYear,Matches_Career,Goals_Total_Career,Matches_Finals,Goals_Total_Finals,Matches_Current,Goals_Total_Current,RatingPoints_Career,Supercoach_Career,Disposals_Career,ContestedPossessions_Career,Goals_Career,RatingPoints_Recent,Supercoach_Recent,Disposals_Recent,ContestedPossessions_Recent,Goals_Recent
Conor Stone,Greater Western Sydney,18,24,24.69,189,Gen. Defender,2021,20,4,1,2,7,0,3.92,33.4,8.1,2.2,0.2,3.92,33.4,8.1,2.2,0.2
Darcy Jones,Greater Western Sydney,2,22,22.74,175,Gen. Forward,2024,37,31,3,2,23,19,10.386,68.973,13.595,5.892,0.838,10.775,74.95,14.35,6.3,0.85
Finn Callaghan,Greater Western Sydney,17,23,23.68,192,Midfielder,2022,71,13,6,2,21,6,11.549,85.042,23.338,6.958,0.183,14.775,110,28.15,8.75,0.2
Finnegan Davis,Greater Western Sydney,45,19,19.94,187,Gen. Defender,,0,,,,0,,,,,,,,,,,
Harrison Oliver,Greater Western Sydney,19,20,20.54,181,Gen. Defender,,0,,,,0,,,,,,,,,,,
Harry Himmelberg,Greater Western Sydney,27,30,30.64,195,Gen. Defender,2016,201,164,17,16,24,3,9.65,77.383,15.204,5.303,0.816,9.76,82.75,17.55,4.95,0.15
Harry Rowston,Greater Western Sydney,24,22,22.38,182,Midfielder,2023,17,6,0,,10,5,5.506,43.118,9.588,3.059,0.353,5.506,43.118,9.588,3.059,0.353
Harvey Thomas,Greater Western Sydney,1,21,21.39,176,Gen. Forward,2024,40,18,1,1,18,9,7.195,53.8,11.45,4.25,0.45,6.97,52.05,10.85,3.4,0.45
Jack Buckley,Greater Western Sydney,44,29,29.03,195,Key Defender,2020,85,1,5,0,19,0,10.584,73.906,12.718,5.129,0.012,10.275,73.15,12.15,4.8,0
Jack Ough,Greater Western Sydney,28,20,20.04,194,Midfielder,,0,,,,0,,,,,,,,,,,
Jake Riccardi,Greater Western Sydney,26,27,27.14,198,Key Forward,2020,89,110,4,6,20,23,5.417,56.921,10.539,3.629,1.236,7.405,70.2,12.55,4.8,1.15
Jake Stringer,Greater Western Sydney,20,32,32.68,192,Gen. Forward,2013,227,392,8,9,15,25,10.989,68.802,12.872,6.361,1.727,8.455,60.9,10.75,5.4,1.7
James Leake,Greater Western Sydney,30,21,21.24,188,Gen. Defender,2025,3,1,0,,3,1,3.7,39,8,4,0.333,3.7,39,8,4,0.333
Jayden Laverde,Greater Western Sydney,25,30,30.72,193,Key Defender,2015,145,38,2,1,14,0,6.312,65.138,13.862,4.331,0.262,5.575,66.3,16.05,3.8,0
Jesse Hogan,Greater Western Sydney,23,31,31.88,196,Key Forward,2015,181,397,7,20,16,46,8.791,79.448,13.503,6.193,2.193,10.225,83,10.75,5.4,3.1
Joe Fonti,Greater Western Sydney,37,22,22.01,189,Gen. Defender,2024,22,0,1,0,17,0,5.891,49.409,11.273,3.364,0,5.725,49.7,10.85,3.4,0
Josaia Delana,Greater Western Sydney,38,20,20.5,176,Gen. Forward,2025,3,0,0,,3,0,0.733,28,5,1.667,0,0.733,28,5,1.667,0
Josh Kelly,Greater Western Sydney,22,31,31.88,184,Midfielder,2014,230,144,18,11,15,5,12.22,98.109,24.491,8.783,0.626,10.25,86.15,21.8,7.4,0.3
Kieren Briggs,Greater Western Sydney,32,27,27.23,201,Ruck,2021,70,14,6,2,20,4,12.517,89.729,13.3,9.086,0.2,11.11,81.35,11.1,7,0.2
Lachie Ash,Greater Western Sydney,7,25,25.52,188,Gen. Defender,2020,125,8,8,1,24,1,8.431,79.712,20.352,4.464,0.064,11.765,108.15,28.25,5.2,0.05
Lachie Whitfield,Greater Western Sydney,6,32,32.45,185,Gen. Defender,2013,257,71,18,2,23,0,10.342,94.805,24.576,5.786,0.276,10.04,111,28.25,5.15,0
Leek Aleer,Greater Western Sydney,21,25,25.36,194,Key Defender,2022,25,0,1,0,13,0,6.344,53.76,9.72,4.32,0,6.785,54.25,10,4.5,0
Logan Smith,Greater Western Sydney,36,20,20.26,204,Ruck,,0,,,,0,,,,,,,,,,,
Max Gruzewski,Greater Western Sydney,35,22,22.44,192,Key Forward,2024,11,13,0,,7,10,4.6,33.182,5.091,2.182,1.182,4.6,33.182,5.091,2.182,1.182
Nathan Wardius,Greater Western Sydney,42,22,22.21,181,Gen. Forward,,0,,,,0,,,,,,,,,,,
Nicholas Madden,Greater Western Sydney,41,22,22.62,204,Ruck,2025,3,0,0,,3,0,12.267,86,11,9.667,0,12.267,86,11,9.667,0
Oliver Hannaford,Greater Western Sydney,13,20,20.33,180,Gen. Forward,,0,,,,0,,,,,,,,,,,
Oskar Taylor,Greater Western Sydney,34,19,19.41,182,Gen. Defender,,0,,,,0,,,,,,,,,,,
Phoenix Gothard,Greater Western Sydney,11,21,21.31,179,Gen. Forward,,0,,,,0,,,,,,,,,,,
Riley Hamilton,Greater Western Sydney,43,20,20.37,189,Mid-Forward,,0,,,,0,,,,,,,,,,,
Ryan Angwin,Greater Western Sydney,9,24,24.05,185,Midfielder,2022,30,3,1,0,10,1,6.2,51.367,12.167,4.533,0.1,7.13,58.9,13.6,5.2,0.15
Sam Taylor,Greater Western Sydney,15,27,27.65,198,Key Defender,2018,131,2,12,0,20,1,10.608,76.443,12.855,6.45,0.015,10.87,80.7,14,6.3,0.05
Stephen Coniglio,Greater Western Sydney,3,33,33.04,182,Midfielder,2012,227,124,14,9,10,4,10.908,91.731,23.859,9.233,0.546,6.69,59.8,16.6,6.4,0.25
Toby Bedford,Greater Western Sydney,14,26,26.59,179,Mid-Forward,2020,83,48,5,4,23,17,7.27,53.687,10.265,4.012,0.578,7.955,59.9,10.9,4.25,0.75
Toby Greene,Greater Western Sydney,4,33,33.26,182,Gen. Forward,2012,261,416,17,29,22,41,11.319,86.31,19.935,8.115,1.594,10.855,77.55,16.05,6.4,1.85
Toby McMullin,Greater Western Sydney,31,22,22.4,183,Midfielder,2023,28,8,1,1,11,1,4.529,39.857,9.393,2.821,0.286,5.115,42.4,10.3,2.95,0.35
Tom Green,Greater Western Sydney,12,25,25.93,192,Midfielder,2020,115,49,7,2,23,13,13.51,100.13,27.13,13.365,0.426,16.705,110.75,29.05,16,0.5
Xavier O'Halloran,Greater Western Sydney,33,26,26.47,187,Midfielder,2020,90,34,6,2,23,9,7.073,50.633,12.056,4.556,0.378,9.01,63.15,15.45,6.25,0.35
Aidan Schubert,Hawthorn,29,19,19.02,195,Key Forward,,0,,,,0,,,,,,,,,,,
Bailey Macdonald,Hawthorn,42,22,22.4,182,Gen. Defender,2023,8,1,0,,6,1,4.025,30,7.125,1.75,0.125,4.025,30,7.125,1.75,0.125
Blake Hardwick,Hawthorn,15,29,29.9,183,Gen. Defender,2016,198,32,7,0,26,11,8.767,76.298,16.53,4.753,0.162,9.555,75.7,15.55,4.95,0.25
Bodie Ryan,Hawthorn,26,21,21.69,187,Gen. Defender,,0,,,,0,,,,,,,,,,,
Calsher Dear,Hawthorn,13,21,21.4,195,Key Forward,2024,26,35,3,5,9,10,5.388,51.192,7.115,4.038,1.346,5.72,51.65,7.15,3.85,1.4
Cam Mackenzie,Hawthorn,28,22,22.94,188,Midfielder,2023,46,12,0,,12,0,7.741,58.739,14.87,5.435,0.261,8.125,62.85,16.25,5.8,0.2
Cameron Nairn,Hawthorn,22,19,19.21,185,Mid-Forward,,0,,,,0,,,,,,,,,,,
Cody Anderson,Hawthorn,32,20,20.91,183,Midfielder,,0,,,,0,,,,,,,,,,,
Connor Macdonald,Hawthorn,9,23,23.96,185,Gen. Forward,2022,90,71,5,7,24,22,7.741,66.133,15.767,4.878,0.789,7.27,71.6,15.35,4.45,0.95
Conor Nash,Hawthorn,11,28,28.42,198,Midfielder,2018,120,22,7,2,22,5,8.666,69.433,17.058,7.483,0.183,8.875,72.1,18.1,8,0.2
Dylan Moore,Hawthorn,8,27,27.4,177,Gen. Forward,2019,126,133,5,3,26,23,11.336,87.214,18.619,6.833,1.056,11.635,90.7,20.2,7.1,0.8
Finn Maginness,Hawthorn,20,25,25.85,189,Gen. Forward,2020,58,14,2,2,13,4,4.488,45.862,12.328,4.241,0.241,4.31,48,13.6,4.75,0.3
Harry Morrison,Hawthorn,1,28,28.13,184,Midfielder,2017,123,30,4,0,20,5,7.883,66.382,16.293,4.854,0.244,8.72,71.65,17.4,5.3,0.25
Henry Hustwaite,Hawthorn,44,22,22.44,195,Midfielder,2023,10,2,0,,4,0,5.52,41.7,10.9,4.7,0.2,5.52,41.7,10.9,4.7,0.2
Jack Dalton,Hawthorn,34,19,19.73,177,Midfielder,,0,,,,0,,,,,,,,,,,
Jack Ginnivan,Hawthorn,33,24,24.06,185,Gen. Forward,2021,90,115,11,11,25,29,7.764,63.789,13.789,4.9,1.278,10.615,83.35,20.05,6.4,1.35
Jack Gunston,Hawthorn,19,35,35.2,193,Key Forward,2010,283,554,20,47,23,73,10.699,80.558,14.102,4.989,1.958,11.645,88.7,12.45,4.3,3.15
Jack Scrimshaw,Hawthorn,14,28,28.32,194,Gen. Defender,2017,123,11,5,0,16,0,9.678,76.821,17.276,5.333,0.089,9.64,72.65,15,5.05,0
Jai Newcombe,Hawthorn,3,25,25.41,187,Midfielder,2021,102,43,5,3,26,11,13.251,92.608,22.804,10.373,0.422,12.65,93.4,22.1,11.1,0.4
Jaime Uhr-Henry,Hawthorn,43,23,23.63,209,Ruck,,0,,,,0,,,,,,,,,,,
James Blanck,Hawthorn,36,26,26.11,196,Key Defender,2022,24,0,0,,0,,6.188,37.583,6.5,3.208,0,5.28,35.45,6.05,3,0
James Sicily,Hawthorn,6,31,31.98,188,Gen. Defender,2015,179,76,8,2,23,6,11.042,93.402,20.24,6.363,0.425,8.735,86.6,19.3,5.8,0.2
Jarman Impey,Hawthorn,4,31,31.47,178,Gen. Defender,2014,221,68,8,2,24,5,8.09,68.733,16.05,4.71,0.308,9.35,87.7,20.95,4.7,0.25
Josh Battle,Hawthorn,24,28,28.33,193,Key Defender,2017,149,30,5,1,26,0,7.452,70.577,15,4.483,0.201,9.2,83.1,19.05,5.25,0
Josh Ward,Hawthorn,25,23,23.37,183,Midfielder,2022,67,8,5,0,25,3,9.469,71.836,19.284,6.254,0.119,11.14,84.2,20.6,7.9,0.1
Josh Weddle,Hawthorn,23,22,22.6,191,Gen. Defender,2023,60,23,5,1,18,9,10.325,72.533,15.633,5.05,0.383,10.44,76.6,15.9,5.95,0.45
Karl Amon,Hawthorn,10,31,31.36,181,Gen. Defender,2015,195,72,10,2,25,4,9.723,82.436,20.523,4.672,0.369,10.9,93.8,24.05,3.7,0.15
Lloyd Meek,Hawthorn,17,28,28.69,203,Ruck,2021,77,24,5,1,25,10,10.827,87.351,12.273,7.701,0.312,11.425,101.7,13.65,8.6,0.25
Mabior Chol,Hawthorn,18,29,29.92,200,Key Forward,2016,108,157,6,4,24,42,8.374,62.796,8.704,4.87,1.454,9.99,71.25,10.35,5.45,1.8
Massimo D'Ambrosio,Hawthorn,16,23,23.57,178,Midfielder,2022,66,17,5,0,26,5,8.427,70.909,17.606,5.076,0.258,8.48,71.5,18.65,5.1,0.2
Matt Hill,Hawthorn,41,22,22.99,187,Gen. Forward,,0,,,,0,,,,,,,,,,,
Matthew LeRay,Hawthorn,31,19,19.85,193,Midfielder,,0,,,,0,,,,,,,,,,,
Max Ramsden,Hawthorn,38,23,23.7,203,Key Forward,2023,9,5,0,,4,4,3.011,45.111,7.444,4.333,0.556,3.011,45.111,7.444,4.333,0.556
Mitch Lewis,Hawthorn,2,28,28.21,199,Key Forward,2018,78,133,2,3,8,8,7.779,62.372,10.218,4.91,1.705,7.02,55.4,9.45,3.95,1.45
Ned Reeves,Hawthorn,7,28,28.16,210,Ruck,2021,43,11,0,,1,0,9.558,67.047,8.047,5.163,0.256,9.255,66.95,8.65,5.55,0.1
Nick Watson,Hawthorn,5,21,21.84,170,Gen. Forward,2024,43,61,5,11,25,36,9.177,65.395,10.86,5.279,1.419,9.885,62,10.45,5.45,1.5
Noah Mraz,Hawthorn,21,20,20.86,198,Key Defender,,0,,,,0,,,,,,,,,,,
Oliver Greeves,Hawthorn,35,19,19.89,191,Midfielder,,0,,,,0,,,,,,,,,,,
Sam Butler,Hawthorn,30,23,23.88,184,Mid-Forward,2022,25,15,3,3,6,3,5.032,42.16,9.6,3.84,0.6,4.985,42.75,9.7,3.7,0.55
Tom Barrass,Hawthorn,37,31,31.23,197,Key Defender,2015,175,1,12,0,25,0,10.242,76.269,12.406,4.731,0.006,9.435,61.6,9.5,4.35,0
Will Day,Hawthorn,12,25,25.57,191,Midfielder,2020,76,19,0,,6,6,10.917,84.132,19.961,7.105,0.25,12.515,96.4,20.6,9.2,0.45
William McCabe,Hawthorn,27,21,21.25,197,Key Forward,,0,,,,0,,,,,,,,,,,
Aidan Johnson,Melbourne,42,26,26.81,193,Key Forward,2025,5,3,0,,5,3,2.96,37.6,5.4,3.4,0.6,2.96,37.6,5.4,3.4,0.6
Andy Moniz-Wakefield,Melbourne,45,23,23.18,182,Gen. Defender,2024,6,0,0,,0,,7.15,53.667,12.667,4.333,0,7.15,53.667,12.667,4.333,0
Bailey Laurie,Melbourne,16,24,24.77,179,Gen. Forward,2023,12,2,1,0,1,0,3.683,27.333,7.75,3.167,0.167,3.683,27.333,7.75,3.167,0.167
Bayley Fritsch,Melbourne,31,30,30.06,188,Gen. Forward,2018,171,288,9,21,22,36,9.154,68.187,12.123,4.439,1.684,8.705,70.3,13,4.45,1.75
Blake Howes,Melbourne,22,23,23.73,191,Gen. Defender,2024,28,1,0,,12,1,5.279,54.536,11.893,4.321,0.036,4.91,51.75,11.35,3.9,0.05
Brody Mihocek,Melbourne,28,33,33.9,192,Key Forward,2018,159,267,16,18,22,36,7.865,64.396,10.535,4.761,1.679,7.145,64.55,9.65,4.55,1.55
Caleb Windsor,Melbourne,6,21,21.56,185,Gen. Defender,2024,36,10,0,,17,2,7.308,56.194,14.361,4.056,0.278,6.875,53.25,14.05,3.55,0.2
Changkuoth Jiath,Melbourne,14,27,27.55,185,Gen. Defender,2019,76,5,3,0,20,0,7.883,67.526,15.763,5.092,0.066,6.275,59.2,13.8,4.65,0
Christian Salem,Melbourne,3,31,31.46,184,Gen. Defender,2014,199,27,10,1,23,1,8.314,80.518,20.161,5.231,0.136,8.275,90,22.65,3.95,0.05
Daniel Turner,Melbourne,10,24,24.92,194,Key Defender,2022,37,24,0,,19,7,7.522,57.162,10.135,3.892,0.649,8.915,69.45,12,4.55,0.4
Ed Langdon,Melbourne,15,30,30.91,182,Mid-Forward,2015,202,84,7,5,23,8,8.41,77.515,20.649,5.96,0.416,6.73,70.15,18.65,5.2,0.4
Harrison Petty,Melbourne,35,27,27.13,197,Key Forward,2018,101,48,5,1,19,20,6.704,55.792,9.297,4.129,0.475,6.9,53.85,8.65,4.2,1
Harry Sharp,Melbourne,30,24,24.03,182,Gen. Forward,2021,34,12,0,,18,8,3.953,31.382,7.588,2.265,0.353,3.57,28.95,6.65,2,0.4
Harvey Langford,Melbourne,4,20,20.79,190,Midfielder,2025,22,14,0,,22,14,10.073,71.091,17.955,6.545,0.636,10.185,72.95,18.2,6.35,0.65
Jack Henderson,Melbourne,43,27,27.24,177,Gen. Forward,2025,5,2,0,,5,2,3.98,43,10,4.6,0.4,3.98,43,10,4.6,0.4
Jack Steele,Melbourne,9,31,31.04,187,Midfielder,2015,202,70,3,1,21,4,12.112,100.663,23.104,10.431,0.347,10.305,94.95,20.95,9.2,0.2
Jack Viney,Melbourne,7,32,32.71,179,Midfielder,2013,237,70,10,0,18,4,11.073,89.143,22.511,11.076,0.295,10.035,86.9,21.75,10.3,0.3
Jacob van Rooyen,Melbourne,2,23,23.7,193,Key Forward,2023,57,74,1,0,16,16,6.991,62.211,9.719,4.702,1.298,7.05,60.05,10.1,5.1,1
Jai Culley,Melbourne,13,23,23.84,194,Midfielder,2022,16,10,0,,4,3,7.537,54.125,11.062,5.688,0.625,7.537,54.125,11.062,5.688,0.625
Jake Bowey,Melbourne,17,24,24.3,175,Gen. Defender,2021,84,8,5,0,23,2,8.377,74.119,18.06,5.464,0.095,9.645,90.85,22.6,6.05,0
Jake Lever,Melbourne,8,30,30.82,194,Gen. Defender,2015,186,5,12,1,8,0,9.861,74.005,14.027,5.489,0.027,8.915,67.4,13.1,4.5,0
Jake Melksham,Melbourne,18,35,35.33,186,Key Forward,2010,248,221,6,6,19,33,8.671,60.589,13.899,5.177,0.891,9.515,63,9.95,4.4,1.65
Jed Adams,Melbourne,26,22,22.63,196,Key Defender,2025,1,0,0,,1,0,6.6,36,5,2,0,6.6,36,5,2,0
Kade Chandler,Melbourne,37,26,26.96,175,Gen. Forward,2019,79,60,2,0,23,18,8.062,59.57,11.57,4.101,0.759,9.29,71.9,14.35,5.25,0.7
Kalani White,Melbourne,34,19,19.65,199,Ruck,,0,,,,0,,,,,,,,,,,
Koltyn Tholstrup,Melbourne,12,21,21.5,186,Gen. Forward,2024,19,8,0,,9,3,5.458,46.579,9.526,4.421,0.421,5.458,46.579,9.526,4.421,0.421
Kysaiah Pickett,Melbourne,36,25,25.58,171,Mid-Forward,2020,126,201,7,11,20,40,10.174,69.27,12.429,5.675,1.595,13.59,91.45,19.55,7.8,2
Latrelle Pickett,Melbourne,33,21,21,180,Gen. Forward,,0,,,,0,,,,,,,,,,,
Luker Kentfield,Melbourne,44,21,21.3,194,Key Defender,,0,,,,0,,,,,,,,,,,
Matthew Jefferson,Melbourne,21,22,22.81,195,Key Forward,2025,7,4,0,,7,4,1.686,26.429,5.429,2.286,0.571,1.686,26.429,5.429,2.286,0.571
Max Gawn,Melbourne,11,35,35,209,Ruck,2011,247,115,10,8,23,6,14.668,113.227,16.255,9.628,0.466,15.82,132.35,21.35,14.1,0.3
Max Heath,Melbourne,27,24,24.18,204,Key Forward,2025,4,3,0,,4,3,4.325,45.5,6.75,5.5,0.75,4.325,45.5,6.75,5.5,0.75
Oscar Berry,Melbourne,38,24,24.98,194,Gen. Defender,,0,,,,0,,,,,,,,,,,
Ricky Mentha,Melbourne,39,20,20.32,179,Gen. Forward,,0,,,,0,,,,,,,,,,,
Riley Onley,Melbourne,40,19,19.75,194,Midfielder,,0,,,,0,,,,,,,,,,,
Shane McAdam,Melbourne,23,31,31.59,186,Gen. Forward,2020,53,73,0,,0,,6.494,60.038,9.509,4.019,1.377,6.505,58.6,10.1,3.6,1.35
Steven May,Melbourne,1,34,34.97,193,Key Defender,2011,251,24,7,0,16,0,10.238,81.371,16.096,4.594,0.096,9.295,89.4,18.1,4.25,0
Thomas Matthews,Melbourne,20,19,19.83,171,Gen. Forward,,0,,,,0,,,,,,,,,,,
Tom Campbell,Melbourne,29,35,35.16,201,Ruck,2012,58,30,0,,0,,7.471,60.845,9.431,6.103,0.517,7.02,61.45,9.55,6.25,0.45
Tom McDonald,Melbourne,25,34,34.28,195,Key Defender,2011,249,170,8,9,17,1,10.455,79.462,15.325,5.518,0.683,8.995,77.35,14.8,4.95,0.05
Tom Sparrow,Melbourne,32,26,26.58,183,Gen. Forward,2019,117,44,7,5,22,10,7.686,59.923,13.932,5.308,0.376,6.625,58.7,12.05,4.25,0.45
Trent Rivers,Melbourne,24,25,25.42,188,Gen. Defender,2020,123,13,7,0,23,4,9.197,74.65,18.073,5.602,0.106,10.96,83.65,21.4,6.35,0.2
Xavier Lindsay,Melbourne,5,20,20.41,183,Midfielder,2025,18,2,0,,18,2,4.917,50.611,13.556,3.556,0.111,4.917,50.611,13.556,3.556,0.111
Xavier Taylor,Melbourne,19,19,19.91,191,Gen. Defender,,0,,,,0,,,,,,,,,,,
Aidan Corr,North Melbourne,4,32,32.62,195,Key Defender,2013,172,3,7,0,10,0,7.369,60.448,11.831,3.419,0.017,7.495,63,13.1,3.6,0
Bailey Scott,North Melbourne,8,26,26.47,186,Midfielder,2019,113,35,0,,12,3,6.928,64.788,16.743,4.265,0.31,6.635,60.3,14.8,4.3,0.3
Blake Thredgold,North Melbourne,23,19,19.34,194,Key Defender,,0,,,,0,,,,,,,,,,,
Brayden George,North Melbourne,33,22,22.96,187,Gen. Forward,,0,,,,0,,,,,,,,,,,
Caleb Daniel,North Melbourne,5,30,30.48,171,Gen. Defender,2015,215,49,12,4,23,0,10.128,85.47,22.172,6.07,0.228,8.64,92.05,25.05,4.4,0
Callum Coleman-Jones,North Melbourne,21,27,27.55,200,Ruck,2019,32,20,0,,1,0,5.612,52,9.625,5.188,0.625,4.565,44.55,9.3,4.6,0.35
Cameron Zurhaar,North Melbourne,44,28,28.61,190,Gen. Forward,2017,143,200,0,,22,38,7.971,64.476,12.168,5.378,1.399,7.8,62.65,9.75,4.75,1.65
Charlie Comben,North Melbourne,30,25,25.44,199,Key Defender,2021,48,8,0,,20,0,6.927,63.521,11.792,4.667,0.167,6.68,61,12.25,4.4,0
Charlie Spargo,North Melbourne,13,27,27.09,172,Gen. Forward,2018,108,64,9,7,10,1,6.176,53.417,11.028,3.556,0.593,4.755,44,10.2,3.3,0.3
Colby McKercher,North Melbourne,10,21,21.72,182,Gen. Defender,2024,39,12,0,,23,12,8.531,85.282,23.41,4.103,0.308,9.675,85.9,23.95,4.35,0.55
Cooper Harvey,North Melbourne,37,22,22.47,180,Gen. Forward,2023,10,11,0,,7,10,5.4,42.5,8.8,2.9,1.1,5.4,42.5,8.8,2.9,1.1
Cooper Trembath,North Melbourne,47,21,21.2,193,Key Forward,2025,3,9,0,,3,9,11.867,71.333,8.667,6.667,3,11.867,71.333,8.667,6.667,3
Dylan Stephens,North Melbourne,15,25,25.97,184,Midfielder,2020,81,17,3,2,22,6,5.716,55.667,14.346,4.247,0.21,6.635,64.65,18.45,4.3,0.25
Finn O'Sullivan,North Melbourne,2,20,20.58,183,Gen. Defender,2025,22,1,0,,22,1,6.232,58,14.318,3.727,0.045,5.95,59.15,14.35,3.75,0.05
George Wardlaw,North Melbourne,6,22,22.55,182,Midfielder,2023,39,12,0,,13,4,10.969,77.333,17,8.462,0.308,10.8,78.5,17.4,8.65,0.35
Griffin Logue,North Melbourne,19,28,28.71,193,Key Defender,2017,97,11,2,3,16,1,7.634,62.124,11.577,4.773,0.113,7.725,61.35,11.35,3.95,0.05
Harry Sheezel,North Melbourne,3,22,22.21,185,Mid-Forward,2023,67,25,0,,23,8,11.652,107.925,28.687,8.433,0.373,9.95,109.45,29.45,8.4,0.4
Hugo Mikunda,North Melbourne,28,19,19.8,180,Midfielder,,0,,,,0,,,,,,,,,,,
Jack Darling,North Melbourne,27,34,34.55,191,Key Forward,2011,320,556,17,34,22,24,9.828,73.578,11.603,6.037,1.738,8.62,58.1,9.3,5.6,1.05
Jackson Archer,North Melbourne,34,23,23.97,187,Gen. Defender,2022,26,0,0,,3,0,3.846,42.308,9.5,3.654,0,3.865,42.85,9.55,3.45,0
Jacob Konstanty,North Melbourne,41,22,22.14,177,Gen. Forward,2025,23,11,0,,23,11,4.365,44.87,9.13,3.913,0.478,3.94,44.05,9.2,3.95,0.4
Josh Goater,North Melbourne,31,23,23.58,190,Gen. Defender,2022,12,0,0,,0,,5.933,56.167,14.25,3.583,0,5.933,56.167,14.25,3.583,0
Jy Simpkin,North Melbourne,12,28,28.82,183,Mid-Forward,2017,173,74,0,,21,12,10.107,80.064,20.624,8.896,0.428,11.34,85.45,21.75,8.55,0.55
Lachy Dovaston,North Melbourne,1,19,19.59,177,Gen. Forward,,0,,,,0,,,,,,,,,,,
Luke Davies-Uniacke,North Melbourne,9,27,27.56,188,Midfielder,2018,130,49,0,,22,8,12.351,91.977,22.8,10.469,0.377,13.405,97.3,25.05,11.7,0.3
Luke McDonald,North Melbourne,11,31,31.89,189,Gen. Defender,2014,218,18,5,1,15,0,7.795,72.849,17.28,4.752,0.083,7.585,70.8,15.65,3.9,0
Luke Parker,North Melbourne,26,34,34.18,183,Midfielder,2011,315,225,26,21,22,12,12.792,95.644,23.232,11.305,0.714,10.77,89.85,23.5,11.05,0.55
Luke Urquhart,North Melbourne,14,20,20.28,185,Midfielder,,0,,,,0,,,,,,,,,,,
Matt Whitlock,North Melbourne,35,20,20.62,197,Key Defender,2025,2,1,0,,2,1,3.05,21,6,2.5,0.5,3.05,21,6,2.5,0.5
Nick Larkey,North Melbourne,20,28,28.56,198,Key Forward,2017,134,278,0,,17,41,7.782,61.448,9.172,4.5,2.075,8.545,68.1,9.8,5.15,2.15
Paul Curtis,North Melbourne,25,23,23.82,185,Gen. Forward,2022,78,97,0,,19,38,7.86,59.192,10.59,5.167,1.244,10.385,76.5,11.6,6.1,1.95
Riley Hardeman,North Melbourne,17,21,21.84,184,Gen. Defender,2024,20,0,0,,17,0,5.44,53.2,12.55,3.2,0,5.44,53.2,12.55,3.2,0
River Stevens,North Melbourne,36,20,20.51,177,Gen. Forward,,0,,,,0,,,,,,,,,,,
Robert Hansen Jr,North Melbourne,46,22,22.8,182,Mid-Forward,2023,20,7,0,,12,3,4.59,32.3,8.15,2.6,0.35,4.59,32.3,8.15,2.6,0.35
Taylor Goad,North Melbourne,22,21,21.67,207,Ruck,,0,,,,0,,,,,,,,,,,
Toby Pink,North Melbourne,32,28,28.38,194,Key Defender,2024,32,7,0,,17,0,5.362,49.031,8.875,3.125,0.219,5.51,54.95,10.15,3.6,0.1
Tom Powell,North Melbourne,24,24,24.83,184,Midfielder,2021,91,31,0,,23,6,8.811,70.901,18.692,6.055,0.341,9.115,84.1,22.5,6.9,0.25
Tristan Xerri,North Melbourne,38,27,27.79,202,Ruck,2020,76,25,0,,20,4,12.553,96.211,13.934,10.013,0.329,17.48,126.9,17.25,13.5,0.2
Wil Dawson,North Melbourne,18,21,21.03,200,Key Defender,2024,8,0,0,,5,0,5.15,42.25,6.375,2.5,0,5.15,42.25,6.375,2.5,0
Zac Banch,North Melbourne,45,23,23.94,173,Gen. Forward,2025,4,1,0,,4,1,2.1,29,6.75,3.5,0.25,2.1,29,6.75,3.5,0.25
Zac Fisher,North Melbourne,16,28,28.54,175,Gen. Forward,2017,132,55,0,,7,2,8.253,67.818,17.765,6.121,0.417,6.525,74.1,20.6,5.2,0.1
Zane Duursma,North Melbourne,7,21,21.34,190,Gen. Forward,2024,23,13,0,,10,4,4.361,34.043,7.174,2.478,0.565,4.425,31.5,6.65,2.3,0.55
Aliir Aliir,Port Adelaide,21,32,32.32,194,Key Defender,2016,178,6,11,0,22,1,9.944,74.528,13.758,5.792,0.034,9.09,70.85,13.1,5.15,0.05
Benny Barrett,Port Adelaide,40,20,20.66,176,Mid-Forward,,0,,,,0,,,,,,,,,,,
Brandon Zerk-Thatcher,Port Adelaide,25,28,28.35,195,Key Defender,2019,90,0,3,0,13,0,7.36,61.344,11.111,4,0,6.64,61.95,11.25,4.7,0
Christian Moraes,Port Adelaide,11,20,20.14,183,Midfielder,2025,14,2,0,,14,2,4.886,46.929,12.214,3.143,0.143,4.886,46.929,12.214,3.143,0.143
Connor Rozee,Port Adelaide,1,26,26.93,185,Gen. Defender,2019,150,124,9,8,21,11,11.241,89.993,21,7.32,0.827,11.23,103.9,27.05,6.95,0.55
Corey Durdin,Port Adelaide,44,24,24.71,176,Gen. Forward,2021,64,48,1,0,16,14,5.959,43.828,7.781,3.375,0.75,5.185,43.05,7.55,3.05,0.75
Dante Visentini,Port Adelaide,38,23,23.87,202,Ruck,2023,14,2,0,,8,1,5.9,52.714,8.071,4.714,0.143,5.9,52.714,8.071,4.714,0.143
Darcy Byrne-Jones,Port Adelaide,33,31,31.27,181,Gen. Forward,2016,221,72,10,3,22,19,8.287,72.448,16.575,5.611,0.326,7.465,65.55,12.65,4.6,0.85
Esava Ratugolea,Port Adelaide,27,28,28.43,197,Key Defender,2018,111,42,8,4,13,0,6.822,59.216,8.946,5.252,0.378,7.345,62.7,9.8,5,0.05
